,t_id,probability
0,13843,0.567634245339
1,13677,0.627931377217
2,547,0.519471603064
3,11848,0.447562101927
4,17231,0.66511363736
5,969,0.644699495223
6,16249,0.554713682153
7,14812,0.417878357693
8,6897,0.437003515575
9,11019,0.542733027576
10,10026,0.432869592643
11,741,0.461123796263
12,10751,0.572442201607
13,3528,0.503299039802
14,16563,0.581910446599
15,4057,0.514140777971
16,12188,0.531313628239
17,15178,0.434899242762
18,523,0.410529847127
19,8068,0.475133331077
20,12672,0.396074056691
21,16117,0.594575710108
22,1058,0.63928921733
23,12119,0.400783532854
24,17408,0.564453227624
25,17709,0.451501954436
26,11257,0.386875099582
27,18633,0.637501510721
28,7972,0.449831661521
29,16657,0.498079200373
30,3124,0.578841769453
31,13091,0.388283832571
32,4161,0.702981570316
33,7783,0.384902166891
34,16742,0.647569852287
35,2463,0.573625958577
36,16705,0.584626567245
37,3590,0.445657355811
38,18731,0.476676636471
39,13159,0.489516052112
40,2357,0.693560552062
41,17853,0.551369597052
42,9671,0.484888367761
43,1982,0.64270658605
44,17111,0.440863872273
45,17606,0.494717523581
46,9978,0.61541681451
47,18845,0.608890915383
48,15360,0.570702714867
49,12051,0.586805015056
50,8825,0.570281048404
51,4703,0.411607097051
52,12710,0.232237473709
53,13728,0.420394690402
54,11633,0.491886484908
55,12215,0.56668315196
56,3256,0.537444984029
57,17210,0.507479052815
58,1667,0.645980668962
59,11643,0.43357657022
60,582,0.558245313935
61,18680,0.518184330743
62,15527,0.637602194323
63,12641,0.426970393924
64,16845,0.311731340298
65,1894,0.593810366598
66,14875,0.614215202034
67,12280,0.510766529303
68,6061,0.644325428256
69,18242,0.400207891809
70,13221,0.647157047381
71,13416,0.51924452342
72,2306,0.62962058605
73,18154,0.538156264621
74,6917,0.635019334336
75,3069,0.478320299562
76,5520,0.591125718895
77,7250,0.555155168992
78,17680,0.653341512041
79,13456,0.608166267495
80,4342,0.548221739746
81,14335,0.553682516812
82,19259,0.318174448485
83,16272,0.626854486838
84,17605,0.539061267659
85,11797,0.4005671712
86,13941,0.612025957304
87,6108,0.43907067803
88,8761,0.347243930223
89,19123,0.544565141087
90,1922,0.454182768609
91,19117,0.567841146488
92,3769,0.659113494298
93,4163,0.420030886192
94,15093,0.426397350262
95,5048,0.587708288928
96,1582,0.518313637685
97,8576,0.606904875902
98,10469,0.605337141598
99,14292,0.585696255535
100,6449,0.579684132829
101,692,0.498723217322
102,10835,0.449357753443
103,67,0.449728565775
104,3986,0.448966974937
105,8924,0.475960645454
106,5729,0.410644196284
107,10899,0.51942483328
108,10761,0.525884477822
109,19034,0.47958273367
110,9860,0.631060567058
111,10780,0.569351509827
112,19299,0.511613047817
113,12534,0.580353749173
114,12773,0.527961319443
115,2009,0.479962351017
116,11514,0.596131178218
117,1838,0.542968338134
118,5871,0.412969534283
119,8093,0.601625013766
120,6150,0.431672194707
121,17774,0.545567529484
122,10616,0.434159929413
123,17609,0.649200756278
124,17607,0.55280648542
125,56,0.500073834506
126,7791,0.455322042654
127,6272,0.588539346954
128,14126,0.457434310563
129,9769,0.251458378977
130,1502,0.533661515545
131,8423,0.572747365684
132,6173,0.578999236079
133,17845,0.46627270918
134,1541,0.420601924103
135,13900,0.571798887785
136,2230,0.604759384058
137,6424,0.401757563128
138,17886,0.489919114256
139,7071,0.738860120984
140,4847,0.401637141727
141,198,0.290370240349
142,7092,0.471608204449
143,5257,0.613899614469
144,9097,0.43973708683
145,4404,0.347160541551
146,2007,0.432709991829
147,10203,0.603194332335
148,4844,0.390176039743
149,2717,0.486137212435
150,1661,0.576830003295
151,14954,0.564292639743
152,1217,0.481773616533
153,12377,0.542141624237
154,4132,0.512905906362
155,10028,0.502749851387
156,14333,0.604225409767
157,18816,0.454744853798
158,6685,0.565325880321
159,1976,0.498610635848
160,14789,0.452084536591
161,15777,0.48694012767
162,6011,0.408224344451
163,12476,0.532738578617
164,17182,0.512132930964
165,12919,0.616653253515
166,8673,0.308024529391
167,3847,0.612742397425
168,15079,0.445568652923
169,4521,0.43051517376
170,9134,0.469691156659
171,7879,0.536770558875
172,7180,0.513510996304
173,18308,0.543788018973
174,4968,0.296661799908
175,910,0.654755692399
176,12459,0.463118386625
177,12106,0.486725661528
178,16918,0.57950016583
179,17144,0.452350331972
180,8530,0.547982587393
181,10922,0.638164786387
182,18889,0.251819398069
183,11651,0.638573310639
184,1299,0.494041912912
185,4693,0.487413396266
186,7711,0.407578749768
187,14363,0.303135259262
188,18941,0.605429636186
189,18468,0.359497755244
190,14905,0.511750475837
191,19333,0.569399847655
192,8954,0.534695781337
193,4345,0.622643654013
194,18760,0.59697500191
195,18430,0.549844877643
196,838,0.640612667084
197,14945,0.510081134866
198,5065,0.522893758578
199,4742,0.551117342749
200,9964,0.404281614657
201,17577,0.499080677168
202,7764,0.475659980912
203,1621,0.514227867421
204,17229,0.685977169396
205,18559,0.759425311115
206,10856,0.472753648612
207,8721,0.558426884088
208,16903,0.353875689965
209,1973,0.540765856722
210,11486,0.492160169506
211,9105,0.636548859049
212,7387,0.418196093794
213,13939,0.585119197043
214,14308,0.548914790853
215,5247,0.555113861592
216,140,0.424979079923
217,14147,0.53565363198
218,7462,0.576704146775
219,5489,0.503954341809
220,9802,0.503098197726
221,3790,0.571194610749
222,5613,0.459218781872
223,18096,0.615025439741
224,15094,0.405696130634
225,19141,0.512725435842
226,6667,0.471605159681
227,17832,0.475928137495
228,14535,0.651850402585
229,5237,0.290704664686
230,18537,0.620299839007
231,15612,0.721538051482
232,16190,0.627642016916
233,16136,0.672078176193
234,8234,0.572452587633
235,4560,0.455915560721
236,3991,0.661882976065
237,14807,0.295070321302
238,13373,0.527842154412
239,2105,0.65326248209
240,6130,0.294475045318
241,1133,0.552964112826
242,11690,0.372112944098
243,519,0.511048256604
244,7819,0.494886624454
245,4448,0.559973591786
246,7835,0.412357838492
247,8232,0.500274136775
248,108,0.556433057347
249,8972,0.38415353267
250,19077,0.437116202698
251,17495,0.468729873453
252,14803,0.382951222279
253,16475,0.644510291854
254,14366,0.541853825066
255,4082,0.492639173804
256,11073,0.518388284194
257,12091,0.596748633273
258,8320,0.545685288451
259,3123,0.55717641531
260,11510,0.583048500457
261,6224,0.447627001686
262,18995,0.4860989215
263,7521,0.514403167586
264,12410,0.484520885869
265,10882,0.568923467798
266,18327,0.363695363486
267,14511,0.480709277123
268,7489,0.651860664773
269,11471,0.500246132073
270,14395,0.420534035003
271,11189,0.436926764127
272,15416,0.471477483577
273,4704,0.385943346234
274,14902,0.374811222358
275,1385,0.481365395621
276,719,0.554624209667
277,16842,0.519119918382
278,5796,0.51585920716
279,6179,0.502723564275
280,2077,0.548015262164
281,17288,0.260120539859
282,5827,0.535741264706
283,14230,0.388019046272
284,8363,0.541647803013
285,9595,0.62723297994
286,15190,0.552249445078
287,14452,0.485901328209
288,19437,0.508624925609
289,3537,0.548826304998
290,2531,0.54560716412
291,6221,0.517511657144
292,8250,0.584672725513
293,15338,0.495662820443
294,12082,0.456934238335
295,13838,0.630741313232
296,12011,0.487045243401
297,1489,0.495148039033
298,11360,0.391748599553
299,13473,0.574309943514
300,16775,0.566105653476
301,18796,0.439990409739
302,8226,0.618397506798
303,13223,0.612556128324
304,18319,0.505743827498
305,237,0.354626711138
